T,K,dl,dh
38,9,"1,02919","2,01742"
38,10,"0,97045","2,09782"
38,11,"0,91183","2,18033"
38,12,"0,85356","2,2647"
38,13,"0,79583","2,35061"
38,14,"0,73886","2,43775"
38,15,"0,68284","2,52581"
38,16,"0,62799","2,61444"
38,17,"0,57448","2,70332"
38,18,"0,52253","2,79207"
38,19,"0,47229","2,88036"
38,20,"0,42396","2,96784"
38,21,"0,37769","3,05412"
39,2,"1,43473","1,53963"
39,3,"1,3821","1,59686"
39,4,"1,32827","1,65754"
39,5,"1,27338","1,72152"
39,6,"1,21761","1,78863"
39,7,"1,16116","1,8587"
39,8,"1,10419","1,93153"
39,9,"1,04692","2,00692"
39,10,"0,98953","2,0846"
39,11,"0,9322","2,16437"
39,12,"0,87514","2,24594"
39,13,"0,81853","2,32904"
39,14,"0,76257","2,4134"
39,15,"0,70743","2,49872"
39,16,"0,65333","2,58469"
39,17,"0,60044","2,671"
39,18,"0,54891","2,75733"
39,19,"0,49896","2,84336"
39,20,"0,45072","2,92876"
39,21,"0,40437","3,0132"
40,2,"1,44214","1,54436"
40,3,"1,39083","1,59999"
40,4,"1,33835","1,65889"
40,5,"1,28484","1,72092"
40,6,"1,23047","1,78594"
40,7,"1,17541","1,85378"
40,8,"1,11983","1,92426"
40,9,"1,06391","1,99717"
40,10,"1,00782","2,07233"
40,11,"0,95174","2,1495"
40,12,"0,89585","2,22843"
40,13,"0,84035","2,30888"
40,14,"0,78539","2,3906"
40,15,"0,73115","2,4733"
40,16,"0,67782","2,55672"
40,17,"0,62556","2,64056"
40,18,"0,57454","2,72455"
40,19,"0,52492","2,80836"
40,20,"0,47687","2,89172"
40,21,"0,43054","2,97431"
41,2,"1,44927","1,54895"
41,3,"1,39922","1,60307"
41,4,"1,34803","1,66028"
41,5,"1,29584","1,72048"
41,6,"1,2428","1,78353"
41,7,"1,18907","1,84926"
41,8,"1,13481","1,91753"
41,9,"1,08019","1,98813"
41,10,"1,02536","2,06089"
41,11,"0,9705","2,13561"
41,12,"0,91576","2,21204"
41,13,"0,86132","2,28998"
41,14,"0,80736","2,36919"
41,15,"0,75402","2,44941"
41,16,"0,70146","2,53039"
41,17,"0,64987","2,61187"
41,18,"0,5994","2,69358"
41,19,"0,55018","2,77525"
41,20,"0,50238","2,8566"
41,21,"0,45615","2,93734"
